Round,Pick #,Expected Board Slot,Strategy,Option #,Player,Team,Pos,Rank,R,HR,RBI,SB,AVG,OPS,ERA,WHIP,K/9,QS,SV,W
,,,,11,Pete Fairbanks,MIA,RP,157,,,,,,,3.57,1.23,9.5,0,27,3
,,,,12,Ivan Herrera,STL,C/DH,158,59,16,60,7,0.273,0.803,,,,,,
,,,,13,Trey Yesavage,TOR,SP,159,,,,,,,3.72,1.26,10.0,10,0,8
,,,,14,Matt McLain,CIN,2B,160,60,15,51,13,0.234,0.706,,,,,,
,,,,15,Brandon Lowe,PIT,2B,161,59,22,65,4,0.243,0.754,,,,,,

12,133,132,Rotation depth and innings floor,1,MacKenzie Gore,TEX,SP,148,,,,,,,3.82,1.26,10.2,14,0,10
,,,,2,Trevor Rogers,BAL,SP,149,,,,,,,4.20,1.35,7.7,13,0,10
,,,,3,Yainer Diaz,HOU,C/DH,150,57,19,65,2,0.273,0.763,,,,,,
,,,,4,Brenton Doyle,COL,OF,151,55,16,56,17,0.245,0.705,,,,,,
,,,,5,Bubba Chandler,PIT,SP,152,,,,,,,4.30,1.36,8.2,12,0,9
,,,,6,Shota Imanaga,CHC,SP,153,,,,,,,4.11,1.20,8.2,13,0,9
,,,,7,Tanner Bibee,CLE,SP,154,,,,,,,4.10,1.27,8.5,16,0,10
,,,,8,Gavin Williams,CLE,SP,155,,,,,,,4.09,1.35,9.2,15,0,10
,,,,9,Josh Hader,HOU,RP,156,,,,,,,3.29,1.12,12.3,0,29,3
,,,,10,Pete Fairbanks,MIA,RP,157,,,,,,,3.57,1.23,9.5,0,27,3
,,,,11,Ivan Herrera,STL,C/DH,158,59,16,60,7,0.273,0.803,,,,,,
,,,,12,Trey Yesavage,TOR,SP,159,,,,,,,3.72,1.26,10.0,10,0,8
,,,,13,Matt McLain,CIN,2B,160,60,15,51,13,0.234,0.706,,,,,,
,,,,14,Brandon Lowe,PIT,2B,161,59,22,65,4,0.243,0.754,,,,,,
,,,,15,Spencer Torkelson,DET,1B,162,67,23,72,2,0.228,0.745,,,,,,

13,156,155,Closer two or high-leverage RP,1,Alec Burleson,STL,1B/OF/DH,171,66,20,73,6,0.278,0.789,,,,,,
,,,,2,Tatsuya Imai,HOU,SP,172,,,,,,,4.37,1.39,8.5,12,0,9
,,,,3,Christian Walker,HOU,1B,173,60,23,68,3,0.230,0.734,,,,,,
,,,,4,Carlos Estevez,KC,RP,174,,,,,,,4.40,1.34,8.4,0,28,3
,,,,5,Jack Flaherty,DET,SP,175,,,,,,,3.89,1.26,9.7,14,0,10
,,,,6,Kenley Jansen,DET,RP,176,,,,,,,4.06,1.24,9.4,0,23,3
,,,,7,Cade Horton,CHC,SP,177,,,,,,,4.34,1.33,7.9,10,0,8
,,,,8,Ezequiel Tovar,COL,SS,178,72,20,75,9,0.263,0.745,,,,,,
,,,,9,Aaron Nola,PHI,SP,179,,,,,,,3.98,1.22,8.7,16,0,11
,,,,10,Mike Trout,LAA,OF/DH,180,56,19,51,3,0.232,0.784,,,,,,
,,,,11,Heliot Ramos,SF,OF,181,64,19,66,6,0.256,0.752,,,,,,
,,,,12,Sal Stewart,CIN,1B,182,50,15,54,6,0.271,0.789,,,,,,
,,,,13,Kris Bubic,KC,SP,183,,,,,,,3.91,1.30,8.5,12,0,9
,,,,14,Ryan Walker,SF,RP,184,,,,,,,3.29,1.19,9.7,0,32,3
,,,,15,Marcus Semien,NYM,2B,185,72,20,70,9,0.241,0.713,,,,,,

14,157,156,Upside bat bench build,1,Tatsuya Imai,HOU,SP,172,,,,,,,4.37,1.39,8.5,12,0,9
,,,,2,Christian Walker,HOU,1B,173,60,23,68,3,0.230,0.734,,,,,,
,,,,3,Carlos Estevez,KC,RP,174,,,,,,,4.40,1.34,8.4,0,28,3
,,,,4,Jack Flaherty,DET,SP,175,,,,,,,3.89,1.26,9.7,14,0,10
,,,,5,Kenley Jansen,DET,RP,176,,,,,,,4.06,1.24,9.4,0,23,3
